ts,unit,code,description,detail,data
20250205 10:41:41,BMS 1,3,Timing record,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 39 %. SOH: 100 %. Battery voltage: 210.6 V. Output voltage: 211.1 V. Output current: -1.3 A. Cell max voltage: 3292 mV. Cell min voltage: 3284 mV. Cell max temp: 18 °C. Cell min temp: 17 °C.",00000000000000001827643a083f08f3ffdc0cd40c1211
20250205 10:41:47,BMU,118,System timing,Status: Active. Environment min temp: 21 °C. Environment max temp: 25 °C. SOC: 38 %. SOH: 100 %. Battery temp: 17 °C. Battery voltage: 210.8 V. Cell max voltage: 3296 mV. Cell min voltage: 3288 mV. Battery max temp: 19 °C. Battery min temp: 17 °C.,031519266411083c0ce00cd800130011000000000000ff
20250205 10:42:55,BMS 2,4,Start charging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 38 %. SOH: 100 %. Battery voltage: 211.0 V. Output voltage: 210.7 V. Output current: -0.8 A. Cell max voltage: 3298 mV. Cell min voltage: 3296 mV. Cell max temp: 18 °C. Cell min temp: 17 °C.",00000000000000001826643e083b08f8ffe20ce00c1211
20250205 10:46:45,BMS 2,111,Time calibrated,Date time set to 2025-02-05 10:46:46.,1902050a2e2effffffffffffffffffffffffffffffffff
20250205 10:46:46,BMU,36,Functional safety info,Running time: 777900 s. Cells: 64. Temperature sensors: 32. Cell max voltage: 3312 mV. Cell min voltage: 3302 mV. Cell max temp: 18 °C. Cell min temp: 17 °C. Output current: -1.4 A. Output voltage: 212.7 V. Accumulated voltage: 211.8 V. BMS address: 1. Module type: HVM. Modules: 4.,000bdeac40200cf00ce61211fff2084f08460101040000
20250205 10:46:46,BMS 1,111,Time calibrated,Date time set to 2025-02-05 10:46:46.,1902050a2e2effffffffffffffffffffffffffffffffff
20250205 10:53:46,BMS 2,5,Stop charging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 38 %. SOH: 100 %. Battery voltage: 210.9 V. Output voltage: 211.9 V. Output current: 0.0 A. Cell max voltage: 3298 mV. Cell min voltage: 3296 mV. Cell max temp: 18 °C. Cell min temp: 17 °C.",00000000000000001826643d0847080000e20ce00c1211
20250205 10:53:51,BMS 1,5,Stop charging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 39 %. SOH: 100 %. Battery voltage: 210.9 V. Output voltage: 211.5 V. Output current: 0.0 A. Cell max voltage: 3298 mV. Cell min voltage: 3290 mV. Cell max temp: 18 °C. Cell min temp: 17 °C.",00000000000000001827643d0843080000e20cda0c1211
20250205 11:01:13,BMS 1,4,Start charging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 40 %. SOH: 100 %. Battery voltage: 213.0 V. Output voltage: 213.9 V. Output current: -2.7 A. Cell max voltage: 3333 mV. Cell min voltage: 3319 mV. Cell max temp: 18 °C. Cell min temp: 17 °C.",000000000000000018286452085b08e5ff050df70c1211
20250205 11:01:14,BMS 2,4,Start charging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 38 %. SOH: 100 %. Battery voltage: 213.0 V. Output voltage: 211.9 V. Output current: -2.1 A. Cell max voltage: 3333 mV. Cell min voltage: 3327 mV. Cell max temp: 18 °C. Cell min temp: 17 °C.",000000000000000018266452084708ebff050dff0c1211
20250205 11:11:07,BMS 2,5,Stop charging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 39 %. SOH: 100 %. Battery voltage: 211.6 V. Output voltage: 211.1 V. Output current: 0.0 A. Cell max voltage: 3308 mV. Cell min voltage: 3306 mV. Cell max temp: 18 °C. Cell min temp: 17 °C.",000000000000000018276444083f080000ec0cea0c1211
20250205 11:16:07,BMS 2,4,Start charging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 39 %. SOH: 100 %. Battery voltage: 213.8 V. Output voltage: 213.1 V. Output current: -3.1 A. Cell max voltage: 3345 mV. Cell min voltage: 3338 mV. Cell max temp: 18 °C. Cell min temp: 17 °C.",00000000000000001827645a085308e1ff110d0a0d1211
20250205 14:01:07,BMS 2,6,Start discharging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 60 %. SOH: 100 %. Battery voltage: 209.2 V. Output voltage: 208.3 V. Output current: 4.2 A. Cell max voltage: 3271 mV. Cell min voltage: 3268 mV. Cell max temp: 20 °C. Cell min temp: 19 °C.",0000000000000000183c642c0823082a00c70cc40c1413
20250205 14:01:08,BMS 1,6,Start discharging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 64 %. SOH: 100 %. Battery voltage: 209.2 V. Output voltage: 209.9 V. Output current: 4.1 A. Cell max voltage: 3272 mV. Cell min voltage: 3266 mV. Cell max temp: 21 °C. Cell min temp: 20 °C.",00000000000000001840642c0833082900c80cc20c1514
20250205 15:11:24,BMS 1,4,Start charging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 64 %. SOH: 100 %. Battery voltage: 213.0 V. Output voltage: 213.5 V. Output current: -2.7 A. Cell max voltage: 3331 mV. Cell min voltage: 3322 mV. Cell max temp: 20 °C. Cell min temp: 20 °C.",000000000000000018406452085708e5ff030dfa0c1414
20250205 15:11:26,BMS 2,4,Start charging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 60 %. SOH: 100 %. Battery voltage: 213.0 V. Output voltage: 213.9 V. Output current: -2.7 A. Cell max voltage: 3333 mV. Cell min voltage: 3326 mV. Cell max temp: 20 °C. Cell min temp: 19 °C.",0000000000000000183c6452085b08e5ff050dfe0c1413
20250205 15:41:59,BMS 1,17,Start balancing,Balancing cells: 62. Cell min voltage: 3340 mV.,0000000000000040000000000000000000000000000c0d
20250205 15:47:43,BMS 1,6,Start discharging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 68 %. SOH: 100 %. Battery voltage: 211.0 V. Output voltage: 211.9 V. Output current: 3.3 A. Cell max voltage: 3304 mV. Cell min voltage: 3287 mV. Cell max temp: 21 °C. Cell min temp: 20 °C.",00000000000000001844643e0847082100e80cd70c1514
20250205 15:47:48,BMS 2,6,Start discharging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 64 %. SOH: 100 %. Battery voltage: 211.0 V. Output voltage: 210.3 V. Output current: 3.1 A. Cell max voltage: 3302 mV. Cell min voltage: 3295 mV. Cell max temp: 20 °C. Cell min temp: 19 °C.",00000000000000001840643e0837081f00e60cdf0c1413
